material_id,formula,pbe_bandgap,hse_bandgap,bandgap_correction,dataset,data_source,confidence,mpid,dimensionality
JVASP-21390,Mg4 Al4 P4 O20,5.2711,7.8043,2.5332,jarvis_3d,jarvis,high,mp-6596,3D
JVASP-21477,K4 Be4 P4 O16,5.6141,8.3622,2.7481,jarvis_3d,jarvis,high,mp-7324,3D
JVASP-11997,As4,0.0221,0.6495,0.6274,jarvis_3d,jarvis,high,mp-158,3D
JVASP-12002,H4 O4 F4 Cu4,0.0038,0.0083,0.0045000000000000005,jarvis_3d,jarvis,high,mp-24242,3D
JVASP-12010,O12 Mo4,1.9202,2.4642,0.544,jarvis_3d,jarvis,high,mp-510584,3D
JVASP-12023,Ag2 I2,1.2599,2.7025,1.4426,jarvis_3d,jarvis,high,mp-567809,3D
JVASP-12027,Zr2 Br2 N2,1.8723,2.2441,0.3717999999999999,jarvis_3d,jarvis,high,mp-570157,3D
JVASP-12028,In2 Br6,2.3104,3.7113,1.4009,jarvis_3d,jarvis,high,mp-570219,3D
JVASP-12033,Y2 I6,2.676,2.8863,0.2102999999999997,jarvis_3d,jarvis,high,mp-571442,3D
JVASP-12038,Al2 H2 O4,5.1686,6.9515,1.7829000000000006,jarvis_3d,jarvis,high,mp-625055,3D
JVASP-12047,Co2 O4,0.0107,0.0211,0.010400000000000001,jarvis_3d,jarvis,high,mp-714976,3D
JVASP-12051,Bi2 O2 F2,2.9829,4.4734,1.4905,jarvis_3d,jarvis,high,mp-759883,3D
JVASP-12057,Ti1 Zr1 Te4,0.0019,0.0047,0.0028000000000000004,jarvis_3d,jarvis,high,mp-8677,3D
JVASP-12059,Cu2 H2 O4,0.0087,0.0117,0.003000000000000001,jarvis_3d,jarvis,high,mp-996956,3D
JVASP-12074,O2 Cl2 Ti2,0.0183,0.0398,0.021500000000000002,jarvis_3d,jarvis,high,mp-22992,3D
JVASP-12106,O8 V2 Cu2,0.0076,0.0119,0.004300000000000001,jarvis_3d,jarvis,high,mp-510733,3D
JVASP-12112,Sc2 Br2 O2,3.2224,3.6468,0.4243999999999999,jarvis_3d,jarvis,high,mp-546279,3D
JVASP-12124,Zn1 Cu3 H6 Cl2 O6,0.0089,0.0245,0.015600000000000001,jarvis_3d,jarvis,high,mp-560161,3D
JVASP-12127,V4 O4 F12,3.1375,3.4649,0.3273999999999999,jarvis_3d,jarvis,high,mp-565784,3D
JVASP-12129,Zn2 Cl4,3.7581,6.0306,2.2724999999999995,jarvis_3d,jarvis,high,mp-567279,3D
JVASP-12150,Sc2 H2 O4,4.2842,5.3239,1.0396999999999998,jarvis_3d,jarvis,high,mp-625199,3D
JVASP-12152,Zr1 Mo2 O8,2.8374,3.4989,0.6614999999999998,jarvis_3d,jarvis,high,mp-627151,3D
JVASP-12162,Ba1 Ca1 I4,3.1541,4.1072,0.9530999999999996,jarvis_3d,jarvis,high,mp-753575,3D
JVASP-12163,Ca1 Pb1 I4,2.8989,3.7491,0.8502000000000001,jarvis_3d,jarvis,high,mp-754540,3D
JVASP-12164,Y2 Br6,3.5904,4.3189,0.7285000000000004,jarvis_3d,jarvis,high,mp-754815,3D
JVASP-12165,Nd2 I2 O2,3.6792,4.76,1.0808,jarvis_3d,jarvis,high,mp-755336,3D
JVASP-12177,Sb2,0.0044,0.0068,0.0023999999999999994,jarvis_3d,jarvis,high,mp-80,3D
JVASP-12178,Li2 W1 S4,1.3183,2.3223,1.0039999999999998,jarvis_3d,jarvis,high,mp-867695,3D
JVASP-12191,Sn2 O4,0.2346,1.0558,0.8212,jarvis_3d,jarvis,high,mvc-13245,3D
JVASP-12197,Sn2 O4,1.6183,3.1709,1.5526,jarvis_3d,jarvis,high,mvc-6946,3D
JVASP-22514,Co2 F4,0.006,0.0099,0.0039000000000000007,jarvis_3d,jarvis,high,mp-556520,3D
JVASP-22517,Ga4 S4,1.4183,2.4943,1.076,jarvis_3d,jarvis,high,mp-556742,3D
JVASP-22518,Rb2 P2 S6,1.7003,2.5808,0.8805000000000001,jarvis_3d,jarvis,high,mp-556953,3D
JVASP-22519,F6 Cr1 Mo1,0.0005,0.0036,0.0031,jarvis_3d,jarvis,high,mp-557158,3D
JVASP-22520,Be3 F6,8.7016,12.2763,3.5747000000000018,jarvis_3d,jarvis,high,mp-15951,3D
JVASP-22522,Be1 O1,7.2929,9.2298,1.9368999999999987,jarvis_3d,jarvis,high,mp-1778,3D
JVASP-22523,C4 O8,6.931,9.685,2.7540000000000004,jarvis_3d,jarvis,high,mp-20066,3D
JVASP-22524,Cl4 Ca2,5.2887,6.7646,1.4758999999999993,jarvis_3d,jarvis,high,mp-22904,3D
JVASP-22525,F2 Cl2 Sr2,5.9497,7.9106,1.9608999999999996,jarvis_3d,jarvis,high,mp-22957,3D
JVASP-22526,F2 Br2 Sr2,5.2929,6.8525,1.5595999999999997,jarvis_3d,jarvis,high,mp-23024,3D
JVASP-22527,Cl2 Sr1,5.4985,7.6257,2.1272,jarvis_3d,jarvis,high,mp-23209,3D
JVASP-22528,Cl4 Ca2,5.4217,6.8598,1.4380999999999995,jarvis_3d,jarvis,high,mp-23214,3D
JVASP-22529,F2 Cl2 Ca2,5.6518,7.4697,1.8178999999999998,jarvis_3d,jarvis,high,mp-27546,3D
JVASP-22530,H1 F2 Na1,7.136,12.0666,4.930599999999999,jarvis_3d,jarvis,high,mp-27837,3D
JVASP-22531,O4 S2 Bi4,0.9351,1.7315,0.7964,jarvis_3d,jarvis,high,mp-27891,3D
JVASP-22532,F10 Br2,3.1677,5.51,2.3423,jarvis_3d,jarvis,high,mp-27987,3D
JVASP-22533,F14 I2,1.5121,2.3712,0.8591,jarvis_3d,jarvis,high,mp-27988,3D
JVASP-22534,F12 As4,5.1841,7.6286,2.4444999999999997,jarvis_3d,jarvis,high,mp-28027,3D
JVASP-22536,K1 Sc2 F7,5.7629,6.8501,1.0872000000000002,jarvis_3d,jarvis,high,mp-28439,3D
JVASP-22537,C2 F6 Cl2,6.6884,8.0315,1.3430999999999997,jarvis_3d,jarvis,high,mp-28473,3D
JVASP-22539,F4 Mg1 K2,6.9563,10.5503,3.5940000000000003,jarvis_3d,jarvis,high,mp-31212,3D
JVASP-22540,Li1 Mg1 P1,1.7383,2.2495,0.5111999999999999,jarvis_3d,jarvis,high,mp-36111,3D
JVASP-22541,Br1 H4 N1,4.3683,5.67,1.3017000000000003,jarvis_3d,jarvis,high,mp-36248,3D
JVASP-22542,H1 Na1 S1,3.386,5.2295,1.8434999999999997,jarvis_3d,jarvis,high,mp-36582,3D
