material_id,formula,cif_path,pbe_bandgap,hse_bandgap,gap_type,correction,formation_energy,total_energy,spacegroup
JVASP-10,VSe2,FAILED_JVASP-10.cif,0.0,0.0,mBJ,0.0,-0.71026,,P-3m1
JVASP-64664,Ba4NaBi,FAILED_JVASP-64664.cif,0.0,0.0,mBJ,0.0,0.09202,,F-43m
JVASP-90532,FeOF,FAILED_JVASP-90532.cif,0.0,0.0,mBJ,0.0,-1.66274,,R3
JVASP-1372,AlAs,FAILED_JVASP-1372.cif,1.681,2.276,mBJ,0.595,-0.57639,,F-43m
JVASP-14873,SrB6,FAILED_JVASP-14873.cif,0.016,0.256,mBJ,0.24,-0.49796,,Pm-3m
JVASP-28397,SiS,FAILED_JVASP-28397.cif,0.658,0.959,mBJ,0.301,-0.38924,,Pmna
JVASP-1996,NaI,FAILED_JVASP-1996.cif,3.851,5.672,mBJ,1.821,-1.35798,,Fm-3m
JVASP-15345,YCoC2,FAILED_JVASP-15345.cif,0.0,0.0,mBJ,0.0,-0.44713,,Amm2
JVASP-107772,Bi3Sb,FAILED_JVASP-107772.cif,0.0,0.0,mBJ,0.0,-0.00064,,R3m
JVASP-64719,Ba4YNb,FAILED_JVASP-64719.cif,0.0,0.0,mBJ,0.0,0.96642,,F-43m
JVASP-64377,Ba4LiHf,FAILED_JVASP-64377.cif,0.0,0.0,mBJ,0.0,0.83413,,F-43m
JVASP-21210,Xe,FAILED_JVASP-21210.cif,6.149,8.382,mBJ,2.233,9e-05,,Fm-3m
JVASP-65101,BeReBi4,FAILED_JVASP-65101.cif,0.0,0.0,mBJ,0.0,1.58807,,F-43m
JVASP-64983,BeCu4W,FAILED_JVASP-64983.cif,0.0,0.0,mBJ,0.0,0.39528,,F-43m
JVASP-22587,RbVF3,FAILED_JVASP-22587.cif,0.0,0.0,mBJ,0.0,-2.55295,,Pm-3m
JVASP-18912,YMg,FAILED_JVASP-18912.cif,0.0,0.0,mBJ,0.0,-0.10473,,Pm-3m
JVASP-64129,KBaZn,FAILED_JVASP-64129.cif,0.0,0.0,mBJ,0.0,0.3128,,F-43m
JVASP-64314,Ba4VSe,FAILED_JVASP-64314.cif,0.0,0.0,mBJ,0.0,0.53175,,F-43m
JVASP-64861,Ba4NbBi,FAILED_JVASP-64861.cif,0.0,0.0,mBJ,0.0,0.65832,,F-43m
JVASP-64512,Ba4HgSb,FAILED_JVASP-64512.cif,0.0,0.0,mBJ,0.0,0.09779,,F-43m
JVASP-53301,UNiSn,FAILED_JVASP-53301.cif,0.0,0.0,mBJ,0.0,0.5848,,F-43m
JVASP-64184,Ba4CdSe,FAILED_JVASP-64184.cif,0.0,0.0,mBJ,0.0,0.0668,,F-43m
JVASP-14756,USb,FAILED_JVASP-14756.cif,0.0,0.0,mBJ,0.0,-0.17167,,Fm-3m
JVASP-16079,Cr,FAILED_JVASP-16079.cif,0.0,0.0,mBJ,0.0,0.3834,,Fm-3m
JVASP-22670,Rb2MnCl6,FAILED_JVASP-22670.cif,0.0,0.0,mBJ,0.0,-1.34678,,Fm-3m
JVASP-90114,Zn2Ga2S5,FAILED_JVASP-90114.cif,0.813,1.947,mBJ,1.134,-0.69686,,R-3m
