material_id,ionic_conductivity
mp-4558,1.300000e-12
uox_generated,5.650000e-12
mp-1020022,9.600000e-12
mp-758770,1.530000e-11
mp-1222635,7.800000e-11
mp-1198788,1.000000e-10
mp-8926,1.600000e-10
mp-1222635,1.600000e-10
mp-1223420,1.700000e-10
mp-1238771,1.800000e-10
mp-28510,2.400000e-10
mp-758334,3.570000e-10
mp-557738,4.100000e-10
mp-1235020,4.320000e-10
mp-15960,5.000000e-10
mp-5418,5.200000e-10
mp-1222986,5.890000e-10
mp-4156,6.100000e-10
mp-753769,6.290000e-10
mp-758770,6.560000e-10
mp-1035532,7.270000e-10
mp-29009,7.800000e-10
mp-1194339,1.000000e-09
mp-1222777,1.000000e-09
mp-541661,1.000000e-09
mp-1104386,1.000000e-09
mp-776356,1.050000e-09
mp-1106183,1.400000e-09
mp-758770,1.510000e-09
mp-19373,2.050000e-09
mp-1191696,3.190000e-09
mp-1194523,3.530000e-09
mp-29365,3.900000e-09
mp-758770,4.240000e-09
mp-756316,4.800000e-09
mp-541272,4.830000e-09
mp-4657,5.000000e-09
mp-27653,8.700000e-09
mp-677490,8.700000e-09
mp-3635,1.000000e-08
mp-27508,1.000000e-08
mp-1222481,1.300000e-08
mp-1106183,1.310000e-08
il5_generated,1.310000e-08
mp-767424,1.360000e-08
xxq_generated,1.460000e-08
mp-1210789,1.590000e-08
mp-758770,1.730000e-08
mp-7020,1.800000e-08
mp-1196415,2.020000e-08
gl0_generated,2.400000e-08
a3e_generated,2.740000e-08
wmr_generated,3.050000e-08
smk_generated,3.170000e-08
xkh_generated,3.200000e-08
mp-554782,3.800000e-08
mp-28253,3.800000e-08
hpu_generated,4.200000e-08
mp-1194700,4.500000e-08
mp-1210789,4.930000e-08
mp-13944,5.000000e-08
mp-11175,5.400000e-08
ci1_generated,5.600000e-08
mp-772260,6.030000e-08
mp-5853,6.170000e-08
mp-37436,6.700000e-08
mp-1105323,8.000000e-08
l2w_generated,8.200000e-08
9z8_generated,8.220000e-08
08e_generated,8.500000e-08
mp-5001,8.700000e-08
mp-754075,9.200000e-08
uxi_generated,9.900000e-08
gwu_generated,1.040000e-07
mp-1222859,1.300000e-07
mp-31096,1.400000e-07
mp-706279,1.440000e-07
mp-696125,1.640000e-07
700000_generated,1.800000e-07
mp-771281,1.900000e-07
0vd_generated,2.000000e-07
mp-30249,2.000000e-07
mp-1232994,2.000000e-07
h8o_generated,2.290000e-07
t3k_generated,2.370000e-07
mp-1222635,2.380000e-07
mp-2646995,2.600000e-07
mp-754075,2.830000e-07
mp-754075,3.200000e-07
mp-541272,3.330000e-07
mp-694934,3.340000e-07
na5_generated,3.800000e-07
mp-18640,3.830000e-07
mp-705887,4.410000e-07
mp-1232382,4.490000e-07
mp-15254,5.000000e-07
lh8_generated,5.260000e-07
mp-696125,5.540000e-07
mp-38008,5.800000e-07
g5g_generated,5.910000e-07
mp-3346454,6.240000e-07
lc1_generated,6.500000e-07
sxv_generated,6.500000e-07
mp-754075,6.850000e-07
mp-25423,8.100000e-07
mp-696129,8.110000e-07
aab_generated,8.300000e-07
mp-27968,8.500000e-07
mp-18809,8.890000e-07
mp-1097036,8.930000e-07
cz2_generated,9.500000e-07
mp-1198622,9.850000e-07
mp-22983,1.000000e-06
kxh_generated,1.000000e-06
mp-632815,1.030000e-06
mp-28593,1.100000e-06
mp-632815,1.140000e-06
mp-753690,1.200000e-06
mp-985582,1.260000e-06
mp-985582,1.300000e-06
mp-695291,1.330000e-06
mp-1177409,1.370000e-06
mp-559776,1.540000e-06
mp-38487,1.584890e-06
mp-695291,1.600000e-06
mp-942733,1.630000e-06
mp-696128,1.780000e-06
qer_generated,1.800000e-06
mp-942733,1.970000e-06
mp-1210789,2.000000e-06
mp-18640,2.000000e-06
mp-1222565,2.000000e-06
jej_generated,2.200000e-06
l9r_generated,2.200000e-06
mp-559776,2.650000e-06
mp-18809,2.710000e-06
tlp_generated,2.850000e-06
za6_generated,2.900000e-06
mp-772416,3.150000e-06
mp-696129,3.200000e-06
s3r_generated,3.250000e-06
mp-775628,3.330000e-06
mp-686239,3.690000e-06
mp-1220731,3.990000e-06
ob9_generated,4.000000e-06
wng_generated,4.000000e-06
mp-1235205,4.200000e-06
mp-686239,4.200000e-06
usu_generated,4.300000e-06
mp-632815,4.500000e-06
h82_generated,4.720000e-06
mp-34148,4.790000e-06
mp-721239,5.000000e-06
mp-554747,5.080000e-06
c0g_generated,5.170000e-06
mp-1235205,5.400000e-06
mp-18809,5.660000e-06
8m3_generated,5.710000e-06
mp-1220731,5.910000e-06
lf5_generated,6.000000e-06
o0a_generated,6.000000e-06
bi3_generated,6.300000e-06
mp-559776,6.610000e-06
sib_generated,6.800000e-06
mp-36330,6.950000e-06
mp-28326,7.000000e-06
mp-1235205,7.000000e-06
sqm_generated,7.100000e-06
419_generated,7.110000e-06
aax_generated,7.410000e-06
mp-775628,7.800000e-06
mp-761986,8.000000e-06
mp-683616,8.300000e-06
1ty_generated,8.500000e-06
mp-554395,8.800000e-06
5gj_generated,8.860000e-06
zyx_generated,9.130000e-06
mp-772416,9.420000e-06
qvu_generated,9.680000e-06
mp-861268,9.920000e-06
ppz_generated,1.000000e-05
mp-1223173,1.000000e-05
qtc_generated,1.060000e-05
mp-632815,1.100000e-05
nf0_generated,1.100000e-05
9n0_generated,1.110000e-05
mp-1218768,1.130000e-05
